i J' Ka' Kc' inv' F' J" Ka" Kc" inv" F" nu unc fit fit2
378: 4 3 1 0 4 4 2 3 1 4 17.1148600 -0.0005000 0.0000868 0.0000871
379: 4 4 0 0 4 4 3 2 1 4 19.3209100 -0.0005000 0.0001887 0.0001883
380: 5 4 1 0 5 5 3 3 1 5 20.0276800 -0.0005000 -0.0004083 -0.0004087
381: 5 4 1 1 5 5 3 3 0 5 20.3060600 -0.0005000 0.0002887 0.0002882
382: 7 5 3 0 7 7 4 3 1 7 20.5832300 -0.0005000 0.0003161 0.0003167
383: 5 3 2 1 5 5 2 4 0 5 22.1622800 -0.0005000 0.0005974 0.0005969
384: 3 1 2 1 3 2 2 0 0 2 22.4282600 -0.0005000 0.0004086 0.0004091
385: 6 5 2 0 6 6 4 2 1 6 22.9595700 -0.0005000 0.0005753 0.0005754
386: 6 5 2 1 6 6 4 2 0 6 23.2455900 -0.0005000 0.0000067 0.0000063
387: 2 1 1 0 2 1 0 1 1 1 23.3238200 -0.0005000 0.0002092 0.0002098
388: 2 1 1 1 2 1 0 1 0 1 23.6616700 -0.0005000 0.0003006 0.0003009
389: 5 5 1 0 5 5 4 1 1 5 24.1417500 -0.0005000 -0.0006322 -0.0006327
390: 6 5 1 0 6 6 4 3 1 6 24.3823500 -0.0005000 0.0000245 0.0000245
391: 5 5 1 1 5 5 4 1 0 5 24.4169800 -0.0005000 -0.0006729 -0.0006726
392: 5 5 0 0 5 5 4 2 1 5 24.4734800 -0.0005000 0.0006899 0.0006891
393: 6 5 1 1 6 6 4 3 0 6 24.6676500 -0.0005000 -0.0004073 -0.0004077
394: 5 5 0 1 5 5 4 2 0 5 24.7477600 -0.0005000 -0.0000523 -0.0000521
395: 9 6 4 0 9 9 5 4 1 9 24.9436700 -0.0005000 -0.0005260 -0.0005253
396: 9 6 4 1 9 9 5 4 0 9 25.1555500 -0.0005000 0.0000723 0.0000718
397: 7 5 2 1 7 7 4 4 0 7 25.1974500 -0.0005000 0.0000020 0.0000017
398: 2 2 0 0 2 1 1 0 1 1 26.5377900 -0.0005000 0.0000275 0.0000280
399: 7 4 3 0 7 7 3 5 1 7 26.7984400 -0.0005000 -0.0002790 -0.0002799
400: 2 2 0 1 2 1 1 0 0 1 26.8658800 -0.0005000 -0.0002149 -0.0002151
401: 8 5 3 0 8 8 4 5 1 8 26.9207600 -0.0005000 -0.0006362 -0.0006359
402: 7 4 3 1 7 7 3 5 0 7 27.0791000 -0.0005000 0.0006900 0.0006882
403: 2 2 1 0 2 1 1 1 1 1 27.5086200 -0.0005000 -0.0002768 -0.0002759
404: 8 6 3 0 8 8 5 3 1 8 27.6142300 -0.0005000 0.0000878 0.0000889
405: 8 6 2 0 8 8 5 3 0 8 27.7971100 -0.0005000 -0.0001800 -0.0001808
406: 2 2 1 1 2 1 1 1 0 1 27.8374000 -0.0005000 -0.0004410 -0.0004413
407: 8 6 3 1 8 8 5 3 0 8 27.8896400 -0.0005000 0.0001112 0.0001111
408: 7 6 2 0 7 7 5 2 1 7 29.0331000 -0.0005000 0.0002574 0.0002582
409: 8 6 2 0 8 8 5 4 1 8 29.2321200 -0.0005000 0.0001775 0.0001770
410: 7 6 2 1 7 7 5 2 0 7 29.2817700 -0.0005000 0.0001305 0.0001309
411: 7 6 1 0 7 7 5 3 1 7 29.4739900 -0.0005000 -0.0001958 -0.0001960
412: 8 6 2 1 8 8 5 4 0 8 29.5062100 -0.0005000 0.0001974 0.0001971
413: 6 6 1 0 6 6 5 1 1 6 29.7122300 -0.0005000 -0.0001056 -0.0001044
414: 7 6 1 1 7 7 5 3 0 7 29.7222300 -0.0005000 -0.0003203 -0.0003206
415: 6 6 0 0 6 6 5 2 1 6 29.7726500 -0.0005000 0.0004114 0.0004124
416: 9 6 3 1 9 9 5 5 0 9 29.8686900 -0.0005000 -0.0002681 -0.0002666
417: 6 6 1 1 6 6 5 1 0 6 30.0011500 -0.0005000 0.0000106 0.0000127
418: 6 6 0 1 6 6 5 2 0 6 30.0610400 -0.0005000 0.0000857 0.0000878
419: 4 1 3 0 4 3 2 1 1 3 30.5126200 -0.0005000 -0.0003181 -0.0003182
420: 10 6 4 0 10 10 5 6 1 10 31.3991900 -0.0005000 -0.0006132 -0.0006117
421: 9 5 4 1 9 9 4 6 0 9 31.5724100 -0.0005000 -0.0004231 -0.0004235
422: 10 7 4 0 10 10 6 4 1 10 32.2139000 -0.0005000 0.0002893 0.0002894
423: 6 2 5 0 6 5 3 3 1 5 33.2184600 -0.0005000 0.0007767 0.0007785
424: 6 2 5 1 6 5 3 3 0 5 33.5244300 -0.0005000 -0.0007228 -0.0007219
425: 9 7 3 0 9 9 6 3 1 9 33.7998000 -0.0005000 -0.0003072 -0.0003067
426: 9 7 3 1 9 9 6 3 0 9 34.0196000 -0.0005000 0.0002042 0.0002045
427: 10 7 4 1 10 10 6 5 1 10 34.0277500 -0.0005000 0.0001685 0.0001692
428: 10 7 3 1 10 10 6 5 0 10 34.1830500 -0.0005000 -0.0007482 -0.0007469
429: 8 4 4 0 8 8 3 6 1 8 34.2824700 -0.0005000 -0.0002991 -0.0003005
430: 9 7 2 0 9 9 6 4 1 9 34.3147000 -0.0005000 0.0001892 0.0001872
431: 11 7 4 1 11 11 6 6 0 11 34.3705400 -0.0005000 -0.0009454 -0.0009396
432: 9 7 2 1 9 9 6 4 0 9 34.5329300 -0.0005000 -0.0002831 -0.0002842
433: 8 7 1 0 8 8 6 3 1 8 34.7054900 -0.0005000 -0.0011486 -0.0011489
434: 8 7 2 1 8 8 6 2 0 8 34.9207300 -0.0005000 -0.0000834 -0.0000810
435: 3 1 2 0 3 2 0 2 1 2 34.9369500 -0.0005000 0.0001655 0.0001662
436: 8 7 1 1 8 8 6 3 0 8 34.9894200 -0.0005000 -0.0006174 -0.0006166
437: 7 7 1 0 7 7 6 1 1 7 35.0985600 -0.0004000 -0.0001476 -0.0001421
438: 7 7 0 0 7 7 6 2 1 7 35.1112700 -0.0004000 0.0000576 0.0000623
439: 3 1 2 1 3 2 0 2 0 2 35.2730500 -0.0004000 -0.0000725 -0.0000715
440: 7 7 1 1 7 7 6 1 0 7 35.3590500 -0.0004000 -0.0002564 -0.0002481
441: 7 7 0 1 7 7 6 2 0 7 35.3717400 -0.0004000 -0.0000473 -0.0000398
442: 3 2 1 0 3 2 1 1 1 2 36.0906700 -0.0004000 0.0000184 0.0000187
443: 5 1 4 0 5 4 2 2 1 4 36.3182000 -0.0004000 -0.0008335 -0.0008335
444: 3 2 1 1 3 2 1 1 0 2 36.4181100 -0.0004000 0.0000083 0.0000089
445: 5 1 4 1 5 4 2 2 0 4 36.6401600 -0.0004000 -0.0000747 -0.0000731
446: 3 2 2 0 3 2 1 2 1 2 38.2037400 -0.0004000 -0.0000337 -0.0000322
447: 5 2 3 0 5 4 3 1 1 4 38.3068800 -0.0004000 0.0000136 0.0000134
448: 11 8 4 0 11 11 7 4 1 11 38.4671200 -0.0004000 -0.0005941 -0.0005965
449: 3 2 2 1 3 2 1 2 0 2 38.5333900 -0.0004000 0.0000926 0.0000927
450: 5 2 3 1 5 4 3 1 0 4 38.6123700 -0.0004000 -0.0004300 -0.0004286
451: 10 5 5 0 10 10 4 7 1 10 38.7172800 -0.0004000 0.0003567 0.0003597
452: 7 3 4 1 7 7 2 6 0 7 39.3540500 -0.0004000 -0.0005272 -0.0005299
453: 10 8 3 0 10 10 7 3 1 10 39.4265300 -0.0004000 0.0003661 0.0003635
454: 6 1 5 0 6 5 2 3 1 5 39.6799800 -0.0004000 -0.0000693 -0.0000687
455: 10 8 3 1 10 10 7 3 0 10 39.7073400 -0.0004000 -0.0002918 -0.0002905
456: 9 8 1 0 9 9 7 3 1 9 40.0160200 -0.0004000 -0.0008391 -0.0008404
457: 9 8 2 1 9 9 7 2 0 9 40.2381300 -0.0004000 0.0006793 0.0006867
458: 9 8 1 1 9 9 7 3 0 9 40.2540700 -0.0004000 -0.0000760 -0.0000711
459: 8 8 0 0 8 8 7 2 1 8 40.3697700 -0.0004000 0.0004319 0.0004444 
460: 8 8 1 0 8 8 7 1 1 8 40.3697700 -0.0004000 0.0004319 0.0004444 
461: 8 8 0 1 8 8 7 2 0 8 40.6062300 -0.0004000 -0.0009544 -0.0009339 
462: 8 8 1 1 8 8 7 1 0 8 40.6062300 -0.0004000 -0.0009544 -0.0009339 
463: 3 3 0 0 3 2 2 0 1 2 41.4073900 -0.0004000 -0.0001919 -0.0001917
464: 8 2 7 1 8 7 3 5 0 7 41.4202900 -0.0004000 -0.0006281 -0.0006272
465: 3 3 1 1 3 2 2 0 1 2 41.4715200 -0.0004000 -0.0000687 -0.0000684
466: 7 1 6 0 7 6 2 4 1 6 41.5530400 -0.0004000 0.0005320 0.0005337
467: 3 3 0 1 3 2 2 0 0 2 41.7624700 -0.0004000 -0.0002175 -0.0002174
468: 7 1 6 1 7 6 2 4 0 6 41.8651600 -0.0004000 -0.0009032 -0.0009004
469: 3 3 0 0 3 2 2 1 0 2 42.2009300 -0.0004000 0.0000200 0.0000201
470: 3 3 1 1 3 2 2 1 0 2 42.2646000 -0.0004000 -0.0003167 -0.0003167
471: 7 3 5 0 7 6 4 3 1 6 42.4754300 -0.0004000 -0.0006221 -0.0006209
472: 6 3 3 0 6 5 4 1 1 5 42.5378600 -0.0004000 -0.0004099 -0.0004100
473: 6 3 3 1 6 5 4 1 0 5 42.8155800 -0.0004000 0.0000990 0.0000999
474: 8 1 7 1 8 7 2 5 0 7 43.3903700 -0.0004000 -0.0000028 -0.0000008
475: 9 4 5 1 9 9 3 7 0 9 44.5045200 -0.0004000 -0.0005822 -0.0005859
476: 7 4 3 0 7 6 5 1 1 6 44.8860600 -0.0004000 0.0007981 0.0007986
477: 11 9 2 1 11 11 8 4 0 11 44.9948900 -0.0004000 -0.0003208 -0.0003237
478: 7 4 3 1 7 6 5 1 0 6 45.1721300 -0.0003000 -0.0000066 -0.0000072
479: 10 9 1 0 10 10 8 3 1 10 45.2180900 -0.0003000 -0.0002166 -0.0002199 
480: 10 9 2 0 10 10 8 2 1 10 45.2180900 -0.0003000 -0.0002166 -0.0002199 
481: 9 9 0 0 9 9 8 2 1 9 45.5303900 -0.0003000 -0.0000512 -0.0000262 
482: 9 9 1 0 9 9 8 1 1 9 45.5303900 -0.0003000 -0.0000512 -0.0000262 
483: 9 9 0 1 9 9 8 2 0 9 45.7466400 -0.0003000 -0.0002996 -0.0002566 
484: 9 9 1 1 9 9 8 1 0 9 45.7466400 -0.0003000 -0.0002996 -0.0002566 
485: 4 2 2 0 4 3 1 2 1 3 46.5380800 -0.0003000 0.0000337 0.0000335
486: 4 2 2 1 4 3 1 2 0 3 46.8634400 -0.0003000 0.0003844 0.0003858
487: 4 1 3 0 4 3 0 3 1 3 47.4820800 -0.0003000 -0.0000410 -0.0000398
488: 6 2 4 0 6 5 3 2 1 5 47.5006800 -0.0003000 -0.0002360 -0.0002363
489: 6 2 4 1 6 5 3 2 0 5 47.8039800 -0.0003000 0.0004143 0.0004163
490: 4 1 3 1 4 3 0 3 0 3 47.8165600 -0.0003000 -0.0001033 -0.0001017
491: 8 3 6 0 8 7 4 4 1 7 48.4342200 -0.0003000 0.0003634 0.0003646
492: 8 3 6 1 8 7 4 4 0 7 48.7100300 -0.0003000 -0.0000450 -0.0000442
493: 4 2 3 0 4 3 1 3 1 3 49.5211800 -0.0003000 0.0000199 0.0000221
494: 8 4 5 0 8 7 5 3 1 7 49.7872900 -0.0003000 0.0003885 0.0003877
495: 4 2 3 1 4 3 1 3 0 3 49.8509800 -0.0003000 -0.0000731 -0.0000724
496: 8 4 5 1 8 7 5 3 0 7 50.0303400 -0.0003000 -0.0003093 -0.0003095
497: 4 3 1 0 4 3 2 1 1 3 50.2730800 -0.0003000 0.0001143 0.0001146
498: 4 3 1 1 4 3 2 1 0 3 50.5820000 -0.0003000 -0.0002410 -0.0002404
499: 4 3 2 0 4 3 2 2 1 3 51.9026000 -0.0003000 -0.0000143 -0.0000133
500: 4 3 2 1 4 3 2 2 0 3 52.2115700 -0.0003000 -0.0001025 -0.0001023
501: 9 3 7 0 9 8 4 5 1 8 53.1572200 -0.0003000 -0.0003647 -0.0003634
502: 9 3 7 1 9 8 4 5 0 8 53.4306300 -0.0003000 -0.0002256 -0.0002256
503: 7 2 5 0 7 6 3 3 1 6 53.7785100 -0.0003000 0.0001280 0.0001281
504: 7 2 5 1 7 6 3 3 0 6 54.0760700 -0.0003000 0.0001654 0.0001680
505: 7 3 4 0 7 6 4 2 1 6 54.4822300 -0.0003000 -0.0000054 -0.0000059
506: 7 3 4 1 7 6 4 2 0 6 54.7609700 -0.0003000 0.0000619 0.0000622
507: 9 5 5 1 9 8 6 3 0 8 55.6346900 -0.0003000 0.0001629 0.0001611
508: 4 4 0 0 4 3 3 0 1 3 56.4204400 -0.0003000 0.0000503 0.0000505
509: 4 4 1 0 4 3 3 1 1 3 56.5182400 -0.0003000 -0.0002406 -0.0002405
510: 4 4 1 0 4 3 3 0 0 3 56.5825200 -0.0003000 0.0000327 0.0000327
511: 4 4 0 1 4 3 3 1 1 3 56.7061800 -0.0003000 -0.0000327 -0.0000321
512: 4 4 0 1 4 3 3 0 0 3 56.7703300 -0.0003000 0.0001106 0.0001111
513: 4 4 1 1 4 3 3 1 0 3 56.8679800 -0.0003000 -0.0002148 -0.0002144
514: 10 3 8 1 10 9 4 6 0 9 57.1775500 -0.0003000 0.0008956 0.0008934
515: 8 2 6 0 8 7 3 4 1 7 57.2225000 -0.0003000 -0.0000543 -0.0000536
516: 9 4 6 0 9 8 5 4 1 8 57.4449900 -0.0003000 -0.0001480 -0.0001500
517: 8 2 6 1 8 7 3 4 0 7 57.5138900 -0.0003000 0.0000749 0.0000775
518: 9 4 6 1 9 8 5 4 0 8 57.6888700 -0.0003000 0.0004531 0.0004523
519: 8 4 4 0 8 7 5 2 1 7 57.7948600 -0.0003000 -0.0005361 -0.0005364
520: 5 2 3 0 5 4 1 3 1 4 58.0520200 -0.0003000 0.0002686 0.0002679
521: 5 2 3 1 5 4 1 3 0 4 58.3728500 -0.0003000 0.0000224 0.0000243
522: 9 2 7 0 9 8 3 5 1 8 58.8475200 -0.0003000 0.0008054 0.0008061
523: 9 2 7 1 9 8 3 5 0 8 59.1313600 -0.0003000 0.0002862 0.0002874
524: 5 3 2 0 5 4 2 2 1 4 59.4507000 -0.0003000 0.0001453 0.0001451
525: 9 5 4 0 9 8 6 2 1 8 59.5093500 -0.0003000 -0.0005068 -0.0005061
526: 5 3 2 1 5 4 2 2 0 4 59.7586000 -0.0003000 0.0000700 0.0000711
527: 10 2 8 0 10 9 3 6 1 9 59.9468900 -0.0003000 -0.0000530 -0.0000529
528: 5 1 4 0 5 4 0 4 1 4 60.3508200 -0.0003000 -0.0000089 -0.0000068
529: 5 1 4 1 5 4 0 4 0 4 60.6838600 -0.0003000 -0.0000508 -0.0000487
530: 5 2 4 0 5 4 1 4 1 4 61.3230500 -0.0003000 -0.0000055 -0.0000027
531: 5 2 4 1 5 4 1 4 0 4 61.6538000 -0.0003000 0.0002335 0.0002349
532: 5 3 3 0 5 4 2 3 1 4 62.4628700 -0.0003000 0.0002439 0.0002452
533: 5 3 3 1 5 4 2 3 0 4 62.7709600 -0.0003000 0.0000957 0.0000961
534: 10 4 7 0 10 9 5 5 1 9 63.7937700 -0.0003000 -0.0003102 -0.0003135
535: 10 4 7 1 10 9 5 5 0 9 64.0338000 -0.0003000 -0.0002242 -0.0002257
536: 10 5 6 1 10 9 6 4 0 9 64.6878800 -0.0003000 0.0001874 0.0001855
537: 5 4 2 1 5 4 3 1 1 4 65.1803800 -0.0003000 0.0000856 0.0000863
538: 5 4 1 0 5 4 3 1 1 4 65.3750000 -0.0003000 -0.0000500 -0.0000497
539: 5 4 1 1 5 4 3 1 0 4 65.6537800 -0.0003000 0.0001557 0.0001563
540: 5 4 2 0 5 4 3 2 1 4 66.1181100 -0.0003000 0.0000448 0.0000453
541: 5 4 2 1 5 4 3 2 0 4 66.3958800 -0.0003000 -0.0000914 -0.0000907
542: 5 4 1 0 5 4 3 2 0 4 66.5908500 -0.0003000 0.0001231 0.0001233
543: 4 3 1 0 4 3 0 3 1 3 67.2420700 -0.0003000 -0.0000786 -0.0000770
544: 4 3 1 1 4 3 0 3 0 3 67.5620200 -0.0003000 0.0004716 0.0004729
545: 6 3 3 0 6 5 2 3 1 5 69.5793600 -0.0003000 0.0002659 0.0002649
546: 6 3 3 1 6 5 2 3 0 5 69.8839500 -0.0003000 0.0002854 0.0002868
547: 11 6 6 1 11 10 7 4 0 10 70.0543600 -0.0003000 0.0006643 0.0006625
548: 9 4 5 0 9 8 5 3 1 8 70.4951300 -0.0003000 0.0002495 0.0002489
549: 6 2 4 0 6 5 1 4 1 5 70.6193100 -0.0003000 0.0000987 0.0000979
550: 9 4 5 1 9 8 5 3 0 8 70.7402500 -0.0003000 -0.0010406 -0.0010434
551: 6 2 4 1 6 5 1 4 0 5 70.9350400 -0.0003000 -0.0000469 -0.0000451
552: 5 5 0 0 5 4 4 0 1 4 71.2445200 -0.0003000 0.0001750 0.0001753
553: 5 5 1 0 5 4 4 1 1 4 71.2710500 -0.0003000 0.0001236 0.0001241
554: 9 3 6 0 9 8 4 4 1 8 71.3399200 -0.0003000 0.0000458 0.0000449
555: 5 5 1 0 5 4 4 0 0 4 71.3937800 -0.0003000 0.0002447 0.0002452
556: 5 5 0 1 5 4 4 0 0 4 71.5454000 -0.0003000 0.0002438 0.0002449
557: 5 5 1 1 5 4 4 1 0 4 71.5717600 -0.0003000 0.0000646 0.0000659
558: 9 3 6 1 9 8 4 4 0 8 71.6078000 -0.0003000 -0.0004195 -0.0004200
559: 11 5 7 0 11 10 6 5 1 10 72.4979300 -0.0003000 -0.0000727 -0.0000805
560: 6 4 3 1 6 5 3 2 1 5 72.7117100 -0.0003000 0.0003764 0.0003768
561: 10 5 5 0 10 9 6 3 1 9 72.8823700 -0.0003000 0.0003807 0.0003805
562: 6 1 5 0 6 5 0 5 1 5 73.0481900 -0.0003000 0.0000845 0.0000875
563: 6 1 5 1 6 5 0 5 0 5 73.3811100 -0.0003000 0.0002327 0.0002351
564: 6 2 5 0 6 5 1 5 1 5 73.4254900 -0.0003000 -0.0000932 -0.0000898
565: 6 3 4 0 6 5 2 4 1 5 73.6094300 -0.0003000 -0.0000806 -0.0000795
566: 6 2 5 1 6 5 1 5 0 5 73.7573500 -0.0003000 0.0001608 0.0001628
567: 6 3 4 1 6 5 2 4 0 5 73.9163400 -0.0003000 0.0000016 0.0000019
