Table S7 
Observed and calculated wavenumbers and frequencies of the assigned transitions of ND2H,
ordered by increasing energy.
The vibration quantum number for the upper and lower states of transition, VU and VL,
are in the first and fifth columns; 0 and 1 indicate symmetric and antisymmetric with respect to inversion.
The transitions marked by *** are discarded in the last cycle of refinement.


  VU   JU   KUA  KUC    VL   JL   KLA  KLC    OBS/CM-1     CALC/CM-1   O-C/CM-1       OBS/MHz    O-C/MHz    UNC/MHz
                           
   1    6    0    6      0    6    1    6     0.162119      0.162121  -0.000002       4860.200    -0.050     0.050
   1    7    0    7      0    7    1    7     0.173439      0.173438   0.000001       5199.560     0.021     0.050
   1    8    0    8      0    8    1    8     0.178925      0.178926  -0.000001       5364.030    -0.034     0.050
   1    7    1    7      0    7    0    7     0.179860      0.179860   0.000000       5392.070    -0.009     0.050
   1    8    1    8      0    8    0    8     0.180597      0.180599  -0.000002       5414.150    -0.067     0.050
   1    9    0    9      0    9    1    9     0.183293      0.183293   0.000000       5494.980    -0.006     0.050
   1    9    1    9      0    9    0    9     0.183719      0.183722  -0.000003       5507.750    -0.088     0.050
   1    6    1    6      0    6    0    6     0.186165      0.186164   0.000001       5581.080     0.024     0.050
   1   10    0   10      0   10    1   10     0.187862      0.187861   0.000001       5631.970     0.030     0.050
   1   10    1   10      0   10    0   10     0.187969      0.187970  -0.000001       5635.180    -0.020     0.050
   1   11    0   11      0   11    1   11     0.193015      0.193012   0.000003       5786.440     0.100     0.050
   1   11    1   11      0   11    0   11     0.193039      0.193039   0.000000       5787.160    -0.002     0.050
   1   12    1   12      0   12    0   12     0.198881      0.198884  -0.000003       5962.300    -0.099     0.200
   1   13    0   13      0   13    1   13     0.205538      0.205534   0.000004       6161.860     0.119     0.200
   1   14    0   14      0   14    1   14     0.213055      0.213046   0.000009       6387.230     0.264     0.200
   1    5    1    5      0    5    0    5     0.215519      0.215519   0.000000       6461.090     0.005     0.050
   0    6    2    5      1    6    1    5     0.260226      0.260225   0.000001       7801.380     0.025     0.050
   1   19    1   19      0   19    0   19     0.266247      0.266251  -0.000004       7981.890    -0.109     0.100
   1   19    0   19      0   19    1   19     0.266247      0.266251  -0.000004       7981.890    -0.109     0.100
   0    3    1    3      1    3    0    3     0.276322      0.276324  -0.000002       8283.920    -0.070     0.050
   1   20    0   20      0   20    1   20     0.280717      0.280716   0.000002       8415.690     0.048     0.100
   1   20    1   20      0   20    0   20     0.280717      0.280716   0.000002       8415.690     0.048     0.100
   1    7    2    6      0    7    1    6     0.300437      0.300437   0.000000       9006.880     0.011     0.100
