 nu1  nu2  nu3a  nu3b  nu4a  nu4b  J  Ka  Kc inv      E"        E/Mhz
   0    0     0     0     0     0  0   0   0   s    0.000000         0.00
   0    0     0     0     0     0  0   0   0   a    0.170745      5118.81
   0    0     0     0     0     0  1   0   1   s    9.097058    272722.90
   0    0     0     0     0     0  1   0   1   a    9.267720    277839.30
   0    0     0     0     0     0  1   1   1   s   11.191535    335513.80
   0    0     0     0     0     0  1   1   1   a   11.360031    340565.20
   0    0     0     0     0     0  1   1   0   s   12.796162    383619.30
   0    0     0     0     0     0  1   1   0   a   12.964030    388651.80
   0    0     0     0     0     0  2   0   2   s   26.656524    799142.50
   0    0     0     0     0     0  2   0   2   a   26.827013    804253.60
   0    0     0     0     0     0  2   1   2   s   27.779730    832815.40
   0    0     0     0     0     0  2   1   2   a   27.948702    837881.00
   0    0     0     0     0     0  2   1   1   s   32.591334    977063.60
   0    0     0     0     0     0  2   1   1   a   32.758425    982072.90
   0    0     0     0     0     0  2   2   1   s   38.868928   1165261.00
   0    0     0     0     0     0  2   2   1   a   39.029376   1170071.00
   0    0     0     0     0     0  2   2   0   s   39.501793   1184234.00
   0    0     0     0     0     0  2   2   0   a   39.662257   1189045.00
   0    0     0     0     0     0  3   0   3   s   51.869771   1555017.00
   0    0     0     0     0     0  3   0   3   a   52.040250   1560127.00
   0    0     0     0     0     0  3   1   3   s   52.316574   1568411.00
   0    0     0     0     0     0  3   1   3   a   52.486255   1573498.00
   0    0     0     0     0     0  3   1   2   s   61.763800   1851632.00
   0    0     0     0     0     0  3   1   2   a   61.929645   1856604.00
   0    0     0     0     0     0  3   2   2   s   66.152476   1983201.00
   0    0     0     0     0     0  3   2   2   a   66.313027   1988015.00
   0    0     0     0     0     0  3   2   1   s   68.849078   2064043.00
   0    0     0     0     0     0  3   2   1   a   69.009435   2068851.00
   0    0     0     0     0     0  3   3   1   s   80.939284   2426499.00
   0    0     0     0     0     0  3   3   0   s   81.069839   2430413.00
   0    0     0     0     0     0  3   3   1   a   81.133844   2432331.00
   0    0     0     0     0     0  3   3   0   a   81.264482   2436248.00
   0    0     0     0     0     0  4   0   4   s   84.424016   2530968.00
   0    0     0     0     0     0  4   1   4   s   84.570773   2535368.00
   0    0     0     0     0     0  4   0   4   a   84.595057   2536096.00
   0    0     0     0     0     0  4   1   4   a   84.741482   2540486.00
   0    0     0     0     0     0  4   1   3   s   99.522373   2983606.00
   0    0     0     0     0     0  4   1   3   a   99.686433   2988524.00
   0    0     0     0     0     0  4   2   3   s  102.007415   3058105.00
   0    0     0     0     0     0  4   2   3   a  102.167626   3062908.00
   0    0     0     0     0     0  4   2   2   s  108.467692   3251780.00
   0    0     0     0     0     0  4   2   2   a  108.626854   3256551.00
   0    0     0     0     0     0  4   3   2   s  118.215639   3544016.00
   0    0     0     0     0     0  4   3   2   a  118.364150   3548468.00
   0    0     0     0     0     0  4   3   1   s  119.282398   3575996.00
   0    0     0     0     0     0  4   3   1   a  119.431319   3580461.00
   0    0     0     0     0     0  5   0   5   s  124.354859   3728065.00
   0    0     0     0     0     0  5   1   5   s  124.398216   3729365.00
   0    0     0     0     0     0  5   0   5   a  124.527142   3733230.00
   0    0     0     0     0     0  5   1   5   a  124.570378   3734526.00
   0    0     0     0     0     0  4   4   1   s  137.652324   4126713.00
   0    0     0     0     0     0  4   4   0   s  137.684868   4127688.00
   0    0     0     0     0     0  4   4   1   a  137.807481   4131364.00
   0    0     0     0     0     0  4   4   0   a  137.840058   4132341.00
   0    0     0     0     0     0  5   1   4   s  144.945887   4345368.00
   0    0     0     0     0     0  5   1   4   a  145.107925   4350226.00
   0    0     0     0     0     0  5   2   4   s  146.064537   4378905.00
   0    0     0     0     0     0  5   2   4   a  146.224337   4383695.00
   0    0     0     0     0     0  5   2   3   s  157.738185   4728872.00
   0    0     0     0     0     0  5   2   3   a  157.895199   4733579.00
   0    0     0     0     0     0  5   3   3   s  164.630249   4935491.00
   0    0     0     0     0     0  5   3   3   a  164.778278   4939929.00
   0    0     0     0     0     0  5   3   2   s  168.077407   5038834.00
   0    0     0     0     0     0  5   3   2   a  168.226221   5043295.00
   0    0     0     0     0     0  6   0   6   s  171.717135   5147950.00
   0    0     0     0     0     0  6   1   6   s  171.729177   5148311.00
   0    0     0     0     0     0  6   0   6   a  171.891297   5153171.00
   0    0     0     0     0     0  6   1   6   a  171.903299   5153531.00
   0    0     0     0     0     0  5   4   2   s  184.482211   5530638.00
   0    0     0     0     0     0  5   4   2   a  184.611610   5534517.00
   0    0     0     0     0     0  5   4   1   s  184.806366   5540355.00
   0    0     0     0     0     0  5   4   1   a  184.936022   5544242.00
   0    0     0     0     0     0  6   1   5   s  197.575246   5923157.00
   0    0     0     0     0     0  6   1   5   a  197.735734   5927968.00
   0    0     0     0     0     0  6   2   5   s  197.995959   5935770.00
   0    0     0     0     0     0  6   2   5   a  198.155402   5940550.00
   0    0     0     0     0     0  5   5   1   s  209.078403   6268013.00
   0    0     0     0     0     0  5   5   0   s  209.084400   6268193.00
   0    0     0     0     0     0  5   5   1   a  209.224018   6272378.00
   0    0     0     0     0     0  5   5   0   a  209.230024   6272558.00
   0    0     0     0     0     0  6   2   4   s  215.727135   6467337.00
   0    0     0     0     0     0  6   2   4   a  215.880972   6471949.00
   0    0     0     0     0     0  6   3   4   s  219.833844   6590453.00
   0    0     0     0     0     0  6   3   4   a  219.980873   6594861.00
   0    0     0     0     0     0  7   0   7   s  226.529457   6791182.00
   0    0     0     0     0     0  7   1   7   s  226.532675   6791279.00
   0    0     0     0     0     0  7   0   7   a  226.706113   6796478.00
   0    0     0     0     0     0  7   1   7   a  226.709318   6796574.00
   0    0     0     0     0     0  6   3   3   s  227.474291   6819508.00
   0    0     0     0     0     0  6   3   3   a  227.621847   6823931.00
   0    0     0     0     0     0  6   4   3   s  240.804710   7219144.00
   0    0     0     0     0     0  6   4   3   a  240.937550   7223126.00
   0    0     0     0     0     0  6   4   2   s  242.168285   7260023.00
   0    0     0     0     0     0  6   4   2   a  242.302073   7264033.00
   0    0     0     0     0     0  7   1   6   s  257.433476   7717661.00
   0    0     0     0     0     0  7   2   6   s  257.574615   7721893.00
   0    0     0     0     0     0  7   1   6   a  257.593196   7722450.00
   0    0     0     0     0     0  7   2   6   a  257.733913   7726668.00
   0    0     0     0     0     0  6   5   2   s  265.261067   7952327.00
   0    0     0     0     0     0  6   5   1   s  265.319873   7954090.00
   0    0     0     0     0     0  6   5   2   a  265.413871   7956908.00
   0    0     0     0     0     0  6   5   1   a  265.472768   7958673.00
   0    0     0     0     0     0  7   2   5   s  281.400226   8436167.00
   0    0     0     0     0     0  7   2   5   a  281.550194   8440662.00
   0    0     0     0     0     0  7   3   5   s  283.413601   8496526.00
   0    0     0     0     0     0  7   3   5   a  283.559309   8500894.00
   0    0     0     0     0     0  8   0   8   s  288.791383   8657748.00
   0    0     0     0     0     0  8   1   8   s  288.792221   8657773.00
   0    0     0     0     0     0  8   0   8   a  288.971147   8663137.00
   0    0     0     0     0     0  8   1   8   a  288.971981   8663162.00
   0    0     0     0     0     0  6   6   1   s  295.185105   8849427.00
   0    0     0     0     0     0  6   6   0   s  295.186109   8849457.00
   0    0     0     0     0     0  6   6   1   a  295.321005   8853501.00
   0    0     0     0     0     0  6   6   0   a  295.322011   8853531.00
   0    0     0     0     0     0  7   3   4   s  296.784308   8897370.00
   0    0     0     0     0     0  7   3   4   a  296.929194   8901713.00
   0    0     0     0     0     0  7   4   4   s  306.419682   9186231.00
   0    0     0     0     0     0  7   4   4   a  306.551696   9190189.00
