i J' Ka' Kc' inv' F' J" Ka" Kc" inv" F" nu unc fit fit2
1: 6 0 6 1 6 6 1 6 0 6 4860.20000 0.10000 -0.07811 -0.09723
2: 8 0 8 1 8 8 1 8 0 8 5364.03000 0.10000 -0.02069 -0.01329
3: 7 1 7 1 7 7 0 7 0 7 5392.07000 0.10000 -0.01599 -0.02389
4: 8 1 8 1 8 8 0 8 0 8 5414.15000 0.10000 -0.05337 -0.04609
5: 9 0 9 1 9 9 1 9 0 9 5494.98000 0.10000 0.02112 0.04308
6: 9 1 9 1 9 9 0 9 0 9 5507.75000 0.10000 -0.06078 -0.03884
7: 6 1 6 1 6 6 0 6 0 6 5581.08000 0.10000 -0.00478 -0.02439
8: 10 0 10 1 10 10 1 10 0 10 5631.97000 0.10000 0.05516 0.08652
9: 10 1 10 1 10 10 0 10 0 10 5635.18000 0.10000 0.00526 0.03664
10: 11 0 11 1 11 11 1 11 0 11 5786.44000 0.10000 0.09971 0.13094
11: 11 1 11 1 11 11 0 11 0 11 5787.16000 0.10000 -0.00245 0.02880
12: 12 1 12 1 12 12 0 12 0 12 5962.30000 0.10000 -0.15263 -0.13368
13: 13 0 13 1 13 13 1 13 0 13 6161.86000 0.10000 -0.01166 -0.01688
14: 14 0 14 1 14 14 1 14 0 14 6387.23000 0.10000 0.04721 0.01008
15: 5 1 5 1 5 5 0 5 0 5 6461.09000 0.10000 -0.04114 -0.06665
16: 6 2 5 0 6 6 1 5 1 6 7801.38000 0.10000 -0.00227 0.00446
17: 3 1 3 0 3 3 0 3 1 3 8283.92000 0.10000 -0.01532 0.00400
18: 20 0 20 1 20 20 1 20 0 20 8415.69000 0.10000 -0.00097 -0.00034
19: 20 1 20 1 20 20 0 20 0 20 8415.69000 0.10000 -0.00097 -0.00034
20: 7 2 6 1 7 7 1 6 0 7 9006.88000 0.10000 0.04823 0.01910
21: 17 6 12 1 17 17 5 12 0 17 9381.12000 0.10000 -0.12914 0.10079
22: 4 1 4 1 4 4 0 4 0 4 9517.49000 0.10000 0.03931 0.01384
23: 12 4 9 1 12 12 3 9 0 12 9827.97000 0.10000 0.02798 -0.07258
24: 19 7 13 0 19 19 6 13 1 19 10013.34000 0.10000 -0.12757 0.01043
25: 11 4 8 0 11 11 3 8 1 11 13067.71000 0.10000 0.18785 0.20941
26: 14 5 10 1 14 14 4 10 0 14 13947.20000 0.10000 0.04824 0.02640
27: 16 6 11 0 16 16 5 11 1 16 15587.42000 0.10000 -0.24117 0.04970
28: 6 2 5 1 6 6 1 5 0 6 17392.56000 0.10000 -0.09009 -0.09725
29: 3 1 3 1 3 3 0 3 0 3 18481.81000 0.10000 0.03697 0.01494
30: 16 6 11 1 16 16 5 11 0 16 20448.44000 0.10000 -0.03629 0.03635
31: 11 4 8 1 11 11 3 8 0 11 20538.89000 0.10000 0.03643 0.00543
32: 8 3 6 0 8 8 2 6 1 8 20608.74000 0.10000 0.02175 0.01303
33: 13 5 9 0 13 13 4 9 1 13 24675.05000 0.10000 0.07903 0.11347
34: 2 1 2 0 2 2 0 2 1 2 28561.69900 0.10000 -0.00131 0.01228
35: 5 2 4 0 5 5 1 4 1 5 28678.51600 0.10000 -0.01197 -0.01434
36: 8 3 6 1 8 8 2 6 0 8 29320.08300 0.10000 0.01837 0.02029
37: 18 7 12 1 18 18 6 12 0 18 30281.97000 0.10000 -0.28336 -0.12215
38: 13 5 9 1 13 13 4 9 0 13 30975.69000 0.10000 0.09221 0.11326
39: 5 2 4 1 5 5 1 4 0 5 38327.00500 0.10000 0.00137 0.00585
40: 10 4 7 0 10 10 3 7 1 10 38387.86000 0.10000 0.06126 0.02705
41: 2 1 2 1 2 2 0 2 0 2 38738.58600 0.10000 -0.01645 -0.03570
42: 15 6 10 0 15 15 5 10 1 15 40749.73000 0.10000 -0.09914 0.07798
43: 15 6 10 1 15 15 5 10 0 15 45892.92000 0.10000 0.07282 0.15931
44: 10 4 7 1 10 10 3 7 0 10 46068.51000 0.10000 0.03680 0.04299
45: 4 2 3 0 4 4 1 3 1 4 69581.60000 0.10000 0.29849 0.29201
46: 4 2 3 3 3 4 1 3 2 3 79302.63700 0.01000 0.00169 0.00711 
47: 4 2 3 3 3 4 1 3 2 4 79302.63700 0.01000 0.00169 0.00711 
48: 4 2 3 3 5 4 1 3 2 4 79302.63700 0.01000 0.00169 0.00711 
49: 4 2 3 3 5 4 1 3 2 5 79302.63700 0.01000 0.00169 0.00711 
50: 4 2 3 3 4 4 1 3 2 3 79302.92400 0.01000 -0.00199 0.00297
51: 4 2 3 3 4 4 1 3 2 4 79302.92400 0.01000 -0.00199 0.00297
