inv',J',K'a,K'c,inv,J,Ka,Kc,nu,
s,0,0,0,s,1,0,1,1452.6953,
s,1,0,1,s,0,0,0,1471.0355,
s,1,0,1,s,2,0,2,1444.3789,
s,1,1,0,s,1,1,1,1463.5292,
s,1,1,0,s,2,1,1,1442.1298,
s,1,1,1,s,1,1,0,1460.2442,
s,1,1,1,s,2,1,2,1445.2601,
s,1,1,1,s,2,1,2,1445.2601,
s,2,0,2,s,1,0,1,1479.7166,
s,2,0,2,s,3,0,3,1436.9436,
s,2,1,1,s,3,1,2,1433.1272,
s,2,1,1,s,1,1,0,1482.0945,
s,2,1,1,s,3,1,2,1433.1272,
s,2,1,2,s,3,1,3,1437.5438,
s,2,1,2,s,1,1,1,1478.6690,
s,2,1,2,s,2,1,1,1457.2691,
s,2,2,0,s,3,2,1,1432.7496,
s,2,2,0,s,2,2,1,1462.7296,
s,2,2,1,s,2,2,0,1461.3921,
s,2,2,1,s,3,2,2,1434.7413,
s,3,0,3,s,2,0,2,1487.6056,
s,3,0,3,s,4,0,4,1429.8394,
s,3,1,2,s,2,1,1,1491.9532,
s,3,1,2,s,4,1,3,1425.0222,
s,3,1,2,s,3,1,3,1472.2279,
s,3,1,3,s,3,1,2,1452.5936,
s,3,1,3,s,2,1,2,1486.5760,
s,3,1,3,s,4,1,4,1429.7851,
s,3,2,1,s,4,2,2,1423.3489,
s,3,2,1,s,3,2,2,1465.6637,
s,3,2,1,s,2,2,0,1492.3144,
s,3,2,2,s,2,2,1,1489.3991,
s,3,2,2,s,3,2,1,1459.4191,
s,3,2,2,s,4,2,3,1426.2603,
s,3,3,0,a,3,3,0,1462.0927,
s,3,3,0,s,3,3,1,1462.4176,
s,3,3,0,s,4,3,1,1424.0751,
s,3,3,1,s,3,3,0,1462.1126,
s,3,3,1,a,3,3,1,1462.0486,
s,3,3,1,s,4,3,2,1424.9667,
s,4,0,4,s,5,0,5,1422.7362,
s,4,0,4,s,3,0,3,1495.2213,
s,4,1,3,s,5,1,4,1417.8431,
s,4,1,3,s,3,1,2,1501.0252,
s,4,1,4,s,5,1,5,1422.7944,
s,4,1,4,s,3,1,3,1494.8762,
s,4,1,4,s,3,1,3,1494.8762,
s,4,2,2,s,3,2,1,1503.2076,
s,4,2,2,s,4,2,3,1470.0490,
s,4,2,2,s,5,2,3,1414.3187,
s,4,2,3,s,4,2,2,1456.2087,
s,4,2,3,s,3,2,2,1498.5236,
s,4,2,3,s,5,2,4,1418.6116,
s,4,3,1,s,4,3,2,1464.0197,
s,4,3,1,s,5,3,2,1414.1575,
s,4,3,2,s,5,3,3,1416.3584,
s,4,3,2,s,3,3,1,1500.0497,
s,4,3,2,a,5,3,2,1412.7632,
s,4,3,2,a,4,3,2,1462.6249,
s,4,3,2,s,4,3,1,1461.7066,
s,4,4,0,s,5,4,1,1415.3828,
s,4,4,0,s,4,4,1,1462.5368,
s,4,4,1,s,4,4,0,1462.4623,
s,4,4,1,s,5,4,2,1415.6650,
s,5,0,5,s,6,0,6,1415.6225,
s,7,3,5,s,7,3,4,1451.7440,
s,7,3,5,s,8,3,6,1393.5427,
s,7,4,3,s,6,4,2,1533.6928,
s,7,4,3,s,8,4,4,1386.4495,
s,7,5,2,s,6,5,1,1530.0244,
s,7,5,2,s,8,5,3,1387.3177,
s,7,7,0,s,8,7,1,1389.0855,
s,7,7,0,s,7,7,1,1463.8101,
s,7,7,1,s,8,7,2,1389.0855,
s,7,7,1,s,7,7,0,1463.8101,
s,8,0,8,s,9,0,9,1394.3702,
s,8,0,8,s,7,0,7,1526.3335,
s,8,1,7,s,7,1,6,1532.4147,
s,8,1,7,s,9,1,8,1390.6247,
s,8,1,8,s,7,1,7,1526.3335,
s,8,1,8,s,9,1,9,1394.3702,
s,8,2,6,s,9,2,7,1386.5299,
s,8,2,6,s,7,2,5,1539.0846,
s,8,2,7,s,9,2,8,1390.6357,
s,8,2,7,s,7,2,6,1532.2988,
s,8,3,5,s,7,3,4,1545.8505,
s,8,3,5,s,9,3,6,1381.7492,
